"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1178,249,0.405622489959839,422.03702970297,547.416114864866,0.770962012704271,0.52612948164278,-38391.8450000002,-1300
"lr_test_result",1178,177,0.406779661016949,482.848958333332,604.199095238096,0.799155381295393,0.547992261459698,-28675.7800000002,-1300
"nn_test_result",1178,227,0.392070484581498,418.097921348314,479.482065217392,0.871978227504198,0.562362769912127,-28957.8100000002,-1300
