"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1181,299,0.45819397993311,554.937773722627,685.509660493828,0.809525825387873,0.684599000482337,-35026.0900000003,7450
"lr_test_result",1181,299,0.51505016722408,459.194480519479,695.543551724139,0.660195151520291,0.701172781614654,-30137.8650000003,7450
"nn_test_result",1181,250,0.48,617.373458333332,714.088538461539,0.864561500543653,0.798056769732603,-18746.6950000002,7450
