"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1160,161,0.509316770186335,5.53169939430056,6.42331969392033,0.861190110082222,0.893893531984079,-53.8429054870605,366.940002441406
"svm_test_result",1160,79,0.556962025316456,6.80686567209421,7.41046449131554,0.91854777525367,1.15474577460461,40.1358323761014,366.940002441406
"lr_test_result",1160,129,0.534883720930233,6.44900510616579,7.46023137832638,0.864451084573807,0.994118747259878,-2.63253037414336,366.940002441406
"nn_test_result",1160,112,0.544642857142857,7.91701956316844,8.50931706692561,0.930394237387235,1.11282448001218,48.9630229400685,366.940002441406
