"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1251,163,0.576687116564417,7.68746974530325,7.90512144482382,0.972467001166304,1.32481011753091,177.168776365663,427.140022277832
"svm_test_result",1251,33,0.575757575757576,5.17036341115051,4.78791643273492,1.07987753833814,1.46554808774462,31.2060747535708,427.140022277832
"lr_test_result",1251,145,0.613793103448276,7.28194057681482,9.77149898437785,0.74522246673277,1.18437142034315,100.88876821136,427.140022277832
"nn_test_result",1251,108,0.564814814814815,8.31950413275545,11.1321326416827,0.747341448448451,0.969953794794798,-15.7204820610057,427.140022277832
