"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1187,267,0.51685393258427,7.44822278645826,10.8537407689412,0.686235551872761,0.734112450840628,-372.277814662177,24.470001220703
"lr_test_result",1187,195,0.553846153846154,8.63594575402998,11.6293987134386,0.742596067675499,0.921843394355792,-79.0755466339163,24.470001220703
"nn_test_result",1187,218,0.490825688073394,8.91678695185292,11.8772052062851,0.750747907187324,0.723693928549943,-364.273574049382,24.470001220703
