"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1215,158,0.462025316455696,1.68682484837361,1.37867303063341,1.22351334282547,1.05078204736776,5.9510063274335,72.4400024414063
"svm_test_result",1215,60,0.516666666666667,1.46276969176261,1.63708531573067,0.893520745502346,0.955142865881818,-2.12961371154846,72.4400024414063
"lr_test_result",1215,144,0.409722222222222,1.53086039453278,1.40183253519846,1.09204227758635,0.758005816206999,-28.8350022144352,72.4400024414063
"nn_test_result",1215,126,0.468253968253968,1.87047424116621,1.53727502523395,1.21674665265674,1.07146347024996,7.36055353813171,72.4400024414063
