"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1242,184,0.570652173913043,2.97958274994619,4.02489423897659,0.740288458040032,0.983927697394979,-5.11045613480081,100.31999206543
"svm_test_result",1242,151,0.576158940397351,2.61239536794028,3.64495726623533,0.716714950855508,0.974284386319207,-5.99886802825654,100.31999206543
"lr_test_result",1242,148,0.554054054054054,3.23479230665812,3.68742151463823,0.877250483519916,1.08991726740353,21.8831491798433,100.31999206543
"nn_test_result",1242,154,0.525974025974026,4.19385817936084,4.60050543505522,0.911608134924528,1.01151039628612,3.86561576919718,100.31999206543
