"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1249,196,0.448979591836735,1.00302285638722,0.977045095104646,1.02658808832134,0.83647918307665,-17.2548589092261,11.4900016784668
"svm_test_result",1249,171,0.514619883040936,0.949721319237625,0.959795171245897,0.989504164732153,1.04911284935457,3.91247687950157,11.4900016784668
"lr_test_result",1249,179,0.502793296089385,0.996709819543628,1.13678089322722,0.876782698831305,0.886634189829409,-11.4696157382965,11.4900016784668
"nn_test_result",1249,162,0.425925925925926,1.13399215059695,1.03668331577342,1.09386553573589,0.811577655545982,-18.1660899757386,11.4900016784668
