"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1242,176,0.460227272727273,5.65256259322932,5.66039048495652,0.998617075668542,0.851452453991073,-79.8795260192943,452.830017089844
"svm_test_result",1242,63,0.603174603174603,3.46844851419541,5.82250513562017,0.595696943739317,0.905459354483762,-13.7615848510786,452.830017089844
"lr_test_result",1242,149,0.570469798657718,7.15394117573454,8.34469657375821,0.85730393100592,1.13860678336724,74.0244192169106,452.830017089844
"nn_test_result",1242,108,0.5,7.98073212520464,7.53016822973186,1.05983450591366,1.05983450591366,24.3304503555302,452.830017089844
