"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1215,131,0.435114503816794,3.44998866254568,3.82928848761474,0.900947701826108,0.693973229784975,-86.7179943183875,288.110008239746
"svm_test_result",1215,36,0.527777777777778,2.74217813672522,2.30294350559023,1.1907274885679,1.33081307545825,12.9513450027453,288.110008239746
"lr_test_result",1215,89,0.606741573033708,2.68770579087997,2.84602811828617,0.944370778915025,1.45702920175461,45.5251285675026,288.110008239746
"nn_test_result",1215,123,0.520325203252033,5.77228225084542,4.21183176021254,1.37049212301731,1.48663552327302,120.927990201567,288.110008239746
