"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1239,267,0.49438202247191,6.05313015026327,9.10011965171539,0.665170391371969,0.650388827119259,-429.502973146825,-197.189994812012
"lr_test_result",1239,223,0.547085201793722,6.18938816244411,11.2557756184342,0.549885531860408,0.66421816719772,-381.727981643675,-197.189994812012
"nn_test_result",1239,250,0.5,6.3200241529175,8.75740151945804,0.721678015890337,0.721678015890337,-304.672170817567,-197.189994812012
