"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",1240,171,0.532163742690059,2.13855267361648,3.03584659440042,0.704433708067138,0.80129334292637,-48.2594342529338,80.280006408691
"svm_test_result",1240,97,0.597938144329897,2.22556748430978,3.33607083699152,0.667122370314175,0.992130704569799,-1.02384855270215,80.280006408691
"lr_test_result",1240,154,0.512987012987013,2.24954980327752,3.00706269375612,0.748088760486603,0.787986827712555,-47.8152675727848,80.280006408691
"nn_test_result",1240,149,0.590604026845638,2.98314514553767,4.2463964419631,0.70251216209068,1.01346016826196,3.4865898475657,80.280006408691
