Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,24.7700004577637,25.1499996185303,,,,,,,,,,,,,,,,,,,,0.39999959845244093,,,,,,,,,,,,,,,,,,105984.27599972492,154900.0,,,,,,,,
2009-01-05,25.0699996948242,25.4400005340576,,,,,,,,,,,,,,,,,,,,0.24342153144990622,,,,,,,,,,,,,,,,,,217773.90554755498,343700.0,,1.5200004577637003,,,,,,
2009-01-06,25.5100002288818,25.9400005340576,,,,,,,,,,,,,,,,,,,,0.505882484937539,,,,,,,,,,,,,,,,,,220873.97510963798,607200.0,,0.9200000762940022,,,,,,
2009-01-07,25.5799999237061,24.3199996948242,,,,,,,,,,,,,,,,,,,,-0.7455620300051805,,,,,,,,,,,,,,,,,,58311.911246208474,276200.0,,2.050001144409201,,,,,,
2009-01-08,24.3099994659424,24.0,26.400413106851534,24.97000007629394,23.539587045736344,,,,,,,,,,,,,,,,,-0.39743486287889945,,,,,,,,,,,,,,,,,,74998.66227629388,-49200.0,,0.7800006866454972,,,,0.7152065152787969,,0.51152035949724
2009-01-09,24.0699996948242,23.1200008392334,26.588553630301437,24.56400032043456,22.53944701056768,,,,,,,,,,,,,,,,,-0.56886156418571,,,,,,,,,,,,,,,,,,-11629.379630547046,-440200.0,,1.6700000762938991,0.9263263875302824,,,1.0122766549334383,,1.0247040261232314
2009-01-12,23.1599998474121,22.6000003814697,26.29388093838643,23.996000289916978,21.698119641447526,,,,,,,,,,,,,,,,,-0.329411672308321,,,,,,,,,,,,,11.529406379249414,14.346795896821952,,,,-104848.17701278036,-660300.0,,1.699998855590799,1.1013603147416666,,,1.1489403242347256,,1.3200638686525963
2009-01-13,22.6499996185303,23.3999996185303,24.71635779548745,23.48800010681152,22.259642418135588,,,,,,,,,,,,,,,,,0.7211532113119952,,,,,,,,,,,,,37.1757712808201,21.80490762753458,,,,-52048.27384731308,-545900.0,,1.0799999237060973,0.47828577229471075,,,0.614178844337966,,0.3772156528323194
2009-01-14,23.0400009155273,22.2399997711182,24.300358327505787,23.072000122070317,21.843641916634848,,,,,,,,,,,,,,,,,-0.5755406443821571,,,,,,,,,,,18.290850136565084,18.147517886973873,6.167372749625744,18.290850136565084,,,,-176863.50519918627,-702200.0,,1.389999389648498,0.039557127529390175,,,0.6141791027177342,,0.3772159702151612
2009-01-15,22.2299995422363,22.8899993896484,23.655779162423052,22.849999999999998,22.044220837576944,,,,,,,,,,,,,,,,,0.3606556693595427,,,,,,,,,,,32.95304993695529,24.34960256701832,55.51600578042002,32.95304993695529,,,,-18257.063154976087,-477200.0,,1.8299999237059978,4.070175059259787,,,0.40288958121152607,,0.16232001464879886
2009-01-16,22.5900001525879,23.0499992370605,23.624780647906118,22.83599967956542,22.04721871122472,,,,,,,,,,,,,,,,,0.4423072338099389,,,,,,-2.1000003814697976,,,-8.349902239849483,,43.6794007846874,31.64110028606926,69.35482382401644,43.6794007846874,,,,36850.48316704343,-318000.0,,1.0399990081786967,3.212842234901129,,,0.394390484170349,,0.1555438540041223
