Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,30.2700004577637,30.6900005340576,,,,,,,,,,,,,,,,,,,,0.3620690789148793,,,,,,,,,,,,,,,,,,1132698.62111832,1216600.0,,,,,,,,
2009-01-05,30.6299991607666,32.1500015258789,,,,,,,,,,,,,,,,,,,,0.7487693847158465,,,,,,,,,,,,,,,,,,3188644.0251142723,3548200.0,,2.0300006866455007,,,,,,
2009-01-06,31.9200000762939,31.6299991607666,,,,,,,,,,,,,,,,,,,,-0.152631938226023,,,,,,,,,,,,,,,,,,3037175.4168351884,1492600.0,,1.9000015258788991,,,,,,
2009-01-07,31.2099990844727,31.5200004577637,,,,,,,,,,,,,,,,,,,,0.2897209922493801,,,,,,,,,,,,,,,,,,3689841.715223185,-210700.0,,1.069999694824201,,,,,,
2009-01-08,31.4599990844727,31.7700004577637,32.513366515105176,31.5520004272461,30.59063433938702,,,,,,,,,,,,,,,,,0.2152786516109733,,,,,,,,,,,,,,,,,,5557441.715223185,1656900.0,,1.4400005340575994,,,,0.4806830439295399,,0.23105618872136802
2009-01-09,31.8500003814697,29.9099998474121,32.94176167323369,31.396000289916998,29.850238906600303,,,,,,,,,,,,,,,,,-0.8255320081455975,,,,,,,,,,,,,,,,,,4416256.707467979,-95900.0,,2.3500003814697017,0.4320900401576459,,,0.7728806916583477,,0.5973445635382859
2009-01-12,30.0400009155273,29.5200004577637,32.77875866772265,30.870000076293955,28.96124148486526,,,,,,,,,,,,,,,,,-0.36111177338554556,,,,,,,,,,,,,17.41423978838997,33.95288513014106,,,,4287107.733861002,-1645700.0,,1.439998626708899,0.2685614067467863,,,0.9543792957143481,,0.9108398400882152
2009-01-13,29.6200008392334,31.2299995422363,32.59536998030853,30.790000152587897,28.98463032486726,,,,,,,,,,,,,,,,,0.6736397967196779,,,,,,,,,,,,,79.26418439150734,36.564762015582794,,,,5549441.392427875,494000.0,,2.3899993896483984,0.3013840379324875,,,0.9026849138603177,,0.8148400537110092
2009-01-14,30.7600002288818,30.0300006866455,32.20661482507072,30.49200019836426,28.7773855716578,,,,,,,,,,,,,,,,,-0.43195225535438764,,,,,,,,,,,45.26962150318087,38.595756216301574,39.130440329645296,45.26962150318087,,,,4190953.1422560844,-1232200.0,,1.6900005340575994,0.3570639071500316,,,0.8573073133532308,,0.7349758295289348
2009-01-15,30.1100006103516,30.8600006103516,31.578510802234838,30.310000228881837,29.041489655528835,,,,,,,,,,,,,,,,,0.3886009748229977,,,,,,,,,,,61.76142064950653,47.865268056090066,66.88963722736698,61.76142064950653,,,,5412710.06859895,394000.0,,1.9300003051758026,0.3859787377071801,,,0.6342552866765007,,0.40227976867709003
