Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,16.4300003051758,17.5799999237061,,,,,,,,,,,,,,,,,,,,0.5348834011477014,,,,,,,,,,,,,,,,,,301331.94856905035,402400.0,,,,,,,,
2009-01-05,17.2999992370605,18.7700004577637,,,,,,,,,,,,,,,,,,,,0.5034250624297735,,,,,,,,,,,,,,,,,,470154.7754164494,1197500.0,,2.920000076293899,,,,,,
2009-01-06,19.1200008392334,18.4699993133545,,,,,,,,,,,,,,,,,,,,-0.3551921054523988,,,,,,,,,,,,,,,,,,321926.81243362406,535900.0,,1.8299999237061009,,,,,,
2009-01-07,18.1599998474121,17.1000003814697,,,,,,,,,,,,,,,,,,,,-0.6463413783157881,,,,,,,,,,,,,,,,,,60792.690884273936,98900.0,,1.699998855590799,,,,,,
2009-01-08,16.9599990844727,17.0,19.217016266362897,17.7840000152588,16.350983764154705,,,,,,,,,,,,,,,,,0.06666815015903628,,,,,,,,,,,,,,,,,,340642.4761487774,-190600.0,,0.690000534057603,,,,0.7165081255520477,,0.5133838939821089
2009-01-09,17.0,16.2299995422363,19.427263265685458,17.51399993896484,15.600736612244223,,,,,,,,,,,,,,,,,-0.8279589078462611,,,,,,,,,,,,,,,,,,130848.27326804717,-465400.0,,0.9299983978271023,0.6128847468645809,,,0.9566316633603086,,0.9151441393435107
2009-01-12,16.2800006866455,15.4799995422363,18.85009499983379,16.85599975585936,14.861904511884934,,,,,,,,,,,,,,,,,-0.7476648341854351,,,,,,,,,,,,,3.0660181081169147,12.255470391394892,,,,-91183.00761496605,-758700.0,,1.0699996948241992,0.5711103638032741,,,0.997047621987214,,0.9941039605103583
2009-01-13,15.4499998092651,15.5500001907349,17.64775604921187,16.27199993133544,14.896243813459009,,,,,,,,,,,,,,,,,0.20000076293960234,,,,,,,,,,,,,6.535942619964021,4.165554673287821,,,,-181662.48988424352,-532500.0,,0.5,0.2692135818219377,,,0.687878058938216,,0.4731762239686077
2009-01-14,15.3000001907349,14.6000003814697,17.37845662086601,15.77199993133544,14.165543241804867,,,,,,,,,,,,,,,,,-0.5468749650754423,,,,,,,,,,,8.661411279660785,8.360812114781167,16.382273110901423,8.661411279660785,,,,-259662.19931156287,-844500.0,,1.4300003051758008,0.022872948152890493,,,0.8032283447652863,,0.6451757738343815
2009-01-15,15.3999996185303,14.8500003814697,16.488639688975866,15.34200000762938,14.195360326282893,,,,,,,,,,,,,,,,,-0.4365072517079294,,,,,,,,,,,15.944304646148195,9.590423533032267,24.914698207579143,15.944304646148195,,,,-405547.5967439149,-444900.0,,1.2600002288818999,1.0969429143092682,,,0.5733198406732436,,0.3286956397095935
2009-01-16,15.0699996948242,15.4300003051758,15.948644443621196,15.18200016021728,14.415355876813363,,,,,,,,,,,,,,,,,0.3913049788015424,,,,,,-2.1499996185303,,,-12.229804481575057,,32.751168859504645,19.11896159510454,56.95653526003338,32.751168859504645,,,,-170386.80104787892,-117100.0,,0.9200000762938991,1.327686865916682,,,0.3833221417019586,,0.14693586431897643
2009-01-20,15.1800003051758,12.4700002670288,16.805093558631146,14.580000305175778,12.35490705172041,,,,,,,,,,,,,,,,,-0.9093958346200922,,,,,,-6.300000190734901,,,-33.56419838620237,,29.72284783769255,26.139440447781798,7.297310045465135,29.72284783769255,,,,-1136315.3332505245,-1296800.0,,3.2300004959107014,1.9438020322008314,,,1.1125466267276842,,1.237759996643149
2009-01-21,12.9799995422363,13.289999961853,16.298803038851197,14.1280002593994,11.957197479947602,,,,,,,,,,,,,,,,,0.17318459565539465,,,,,,-5.179999351501499,,,-28.045476686922044,,34.63490655515143,32.36964108411621,39.65087435995578,34.63490655515143,,,,-162926.80392831098,-43300.0,,1.7899999618531002,0.3790596284084626,,,1.0854013897258983,,1.1780961768189115
2009-01-22,12.8000001907349,12.5600004196167,16.135616179800813,13.7200002670288,11.304384354256785,,,,,,15.620000362396251,15.809999942779498,,,,,,,,,,-0.1578946377762118,-131.0891889949322,,,,,-4.5399999618530025,,,-26.549706786981965,,22.798194147315503,29.051982846719827,21.4463980365256,22.798194147315503,,,-89.53770581004548,-386808.02889828966,-723900.0,,1.5199995040892986,0.5419683378823744,,12.715714563642212,1.2078079563860074,12.26120910015733,1.4588000595093433
2009-01-23,12.1700000762939,12.6000003814697,15.507677595432083,13.2700002670288,11.032322938625517,,,,,,15.620000362396251,15.809999942779498,,,,,,,,85.71428571428572,7.142857142857143,0.4215687374480179,-114.41887179204559,-45.77205012259266,45.87458752799821,34.16207160993656,31.740013802659266,-4.3999996185303,11.77683767987507,,-25.882350697237055,27.113974938703674,28.137781903270767,28.523627535245897,23.316073313330932,28.137781903270767,,,-89.05108828506262,-381862.8198941299,-471700.0,1.4864284651620001,1.020000457763599,0.35799110011975654,,12.199143191746298,1.1188386642016417,11.719890479203105,1.2517999565125137
2009-01-26,12.8599996566772,13.4700002670288,13.709903901829428,12.8780002593994,12.046096616969372,,,,,,15.46999979019165,15.6449999809265,,,,,,,,78.57142857142857,0.0,0.5495502693916049,-73.51917838433975,-34.21428944707234,33.44568978548317,26.926843419647046,29.710999300786227,-2.7599992752075,14.817976267547678,,-17.005541300386295,32.892855276463834,31.87484874050034,27.603608263695534,50.86207487164449,31.87484874050034,,,-77.5665350982953,-283589.73001418274,-192000.0,1.4681121135244573,1.229999542236401,0.6025240493153715,,12.218571853637695,0.4159518212150142,11.800549926338615,0.17301591757208712
