Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,6270.0,6150.0,,,,,,,,,,,,,,,,,,,,-0.41379310344827586,,,,,,,,,,,,,,,,,,713165.5172413794,4136360.0,,,,,,,,
2009-01-05,6350.0,7000.0,,,,,,,,,,,,,,,,,,,,0.8783783783783784,,,,,,,,,,,,,,,,,,8430706.05778192,13654660.0,,920.0,,,,,,
2009-01-06,6950.0,6890.0,,,,,,,,,,,,,,,,,,,,-0.2222222222222222,,,,,,,,,,,,,,,,,,7802956.05778192,8004910.0,,270.0,,,,,,
2009-01-07,6980.0,7140.0,,,,,,,,,,,,,,,,,,,,0.3902439024390244,,,,,,,,,,,,,,,,,,8731247.521196553,15616900.0,,430.0,,,,,,
2009-01-08,6990.0,7400.0,7754.532050669502,6916.0,6077.467949330498,,,,,,,,,,,,,,,,,0.6307692307692307,,,,,,,,,,,,,,,,,,13252159.828888861,22784200.0,,650.0,,,,419.2660253347509,,175784.0
2009-01-09,7550.0,7050.0,7440.232479583203,7096.0,6751.767520416797,,,,,,,,,,,,,,,,,-0.625,,,,,,,,,,,,,,,,,,5980249.828888861,15512290.0,,800.0,0.11081916956884515,,,172.11623979160132,,29624.0
2009-01-12,6890.0,6990.0,7440.548697876648,7094.0,6747.451302123352,,,,,,,,,,,,,,,,,0.2631578947368421,,,,,,,,,,,,,20.37037037037037,53.31552787693139,,,,5316626.144678336,12990520.0,,380.0,0.3189709059284196,,,173.2743489383238,,30024.0
2009-01-13,7090.0,7050.0,7416.268840904428,7126.0,6835.731159095572,,,,,,,,,,,,,,,,,-0.125,,,,,,,,,,,,,23.076923076923077,30.27190483330835,,,,6576331.144678336,15509930.0,,320.0,0.38714245014368076,,,145.13442045221387,,21064.0
2009-01-14,7050.0,7310.0,7486.4352922096505,7160.0,6833.5647077903495,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,30.508072174738846,38.03183496165953,48.07692307692307,30.508072174738846,,,,9089556.144678336,18155430.0,,400.0,0.38148303865592503,,,163.21764610482532,,26640.0
2009-01-15,6970.0,6820.0,7358.858698466471,7044.0,6729.141301533529,,,,,,,,,,,,,,,,,-0.39473684210526316,,,,,,,,,,,27.45358090185677,29.41118596996799,11.206896551724139,27.45358090185677,,,,8047589.828888862,14855870.0,,620.0,0.4954367340231224,,,157.42934923323543,,24784.0
