Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,137.0,151.5,,,,,,,,,,,,,,,,,,,,0.9673111865511013,,,,,,,,,,,,,,,,,,3678393.2738183383,3935700.0,,,,,,,,
2009-01-05,149.050003051758,157.800003051758,,,,,,,,,,,,,,,,,,,,0.572269708446221,,,,,,,,,,,,,,,,,,4971142.164437183,9801000.0,,15.289993286132983,,,,,,
2009-01-06,157.460006713867,153.710006713867,,,,,,,,,,,,,,,,,,,,-0.3822630920753725,,,,,,,,,,,,,,,,,,3650102.7326677516,5122500.0,,9.809997558594006,,,,,,
2009-01-07,151.149993896484,148.5,,,,,,,,,,,,,,,,,,,,-0.4166656670081292,,,,,,,,,,,,,,,,,,3110718.6298773144,1473000.0,,7.920013427733977,,,,,,
2009-01-08,146.610000610352,155.360000610352,159.75612422697202,153.3740020751954,146.99187992341876,,,,,,,,,,,,,,,,,0.7530113757979382,,,,,,,,,,,,,,,,,,5734414.253287846,5351800.0,,11.620010375975994,,,,3.191061075888315,,10.182870790049492
2009-01-09,159.479995727539,162.539993286133,164.8358247938486,155.58200073242202,146.32817667099545,,,,,,,,,,,,,,,,,0.32449628157750143,,,,,,,,,,,,,,,,,,7806449.9410830755,10105900.0,,9.83999633789,0.7933816518599641,,,4.6269120307132905,,21.408314939959382
2009-01-12,159.449996948242,149.929992675781,163.87429777371278,154.0079986572266,144.14169954074043,,,,,,,,,,,,,,,,,-0.8372918523130793,,,,,,,,,,,,,22.0122428781253,59.012272055825434,,,,5038878.595947129,6087100.0,,14.379989624024006,0.8247463438622437,,,4.933149558243081,,24.33596456399391
2009-01-13,141.970001220703,141.100006103516,165.8081456454106,151.4859985351564,137.1638514249022,,,,,,,,,,,,,,,,,-0.08055508068077814,,,,,,,,,,,,,16.982460013353066,41.80313144841133,,,,4589364.667220348,922400.0,,13.759994506835994,0.9440153367335692,,,7.161073555127107,,51.28097446194079
2009-01-14,137.009994506836,133.380004882812,169.0453489131687,148.4619995117188,127.87865011026891,,,,,,,,,,,,,,,,,-0.47700254045789003,,,,,,,,,,,15.42636228665493,38.74725526363057,7.284383968486437,15.42636228665493,,,,3026965.609816248,-3633100.0,,10.220001220704006,0.9347301432887104,,,10.291674700724947,,105.91856814554194
2009-01-15,137.009994506836,142.580001831055,165.5822320075186,145.9059997558594,126.2297675042002,,,,,,,,,,,,,,,,,0.4801734241670503,,,,,,,,,,,19.452584020762714,25.56069258527633,34.09090808044865,19.452584020762714,,,,4422550.590683937,627100.0,,13.099990844727017,0.9311150786011919,,,9.838116125829597,,96.78852890530834
