Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,21.4699993133545,22.0400009155273,,,,,,,,,,,,,,,,,,,,0.3725498995837186,,,,,,,,,,,,,,,,,,2141260.4762632838,2620900.0,,,,,,,,
2009-01-05,21.6200008392334,21.9899997711182,,,,,,,,,,,,,,,,,,,,0.41111009856760705,,,,,,,,,,,,,,,,,,2563502.6835753657,720800.0,,0.8999996185303019,,,,,,
2009-01-06,22.3600006103516,23.3600006103516,,,,,,,,,,,,,,,,,,,,0.5319145914116423,,,,,,,,,,,,,,,,,,4631270.265160236,3855800.0,,1.8800010681152983,,,,,,
2009-01-07,22.9799995422363,22.6599998474121,,,,,,,,,,,,,,,,,,,,-0.2735039948354819,,,,,,,,,,,,,,,,,,5406266.785797874,1265100.0,,1.4600009918213033,,,,,,
2009-01-08,22.6100006103516,23.3500003814697,23.87913348921646,22.680000305175778,21.480867121135095,,,,,,,,,,,,,,,,,0.596774119120076,,,,,,,,,,,,,,,,,,7452020.189415979,3853600.0,,1.2399997711181001,,,,0.5995665920203408,,0.35948009826688576
2009-01-09,23.4300003051758,23.5,24.115287070045532,22.97200012207032,21.828713174095107,,,,,,,,,,,,,,,,,0.07142829338926619,,,,,,,,,,,,,,,,,,9957080.195021167,6922300.0,,0.9799995422362997,0.09017208371237911,,,0.5716434739876072,,0.32677626135262017
2009-01-12,23.3500003814697,22.2800006866455,23.981462224506156,23.030000305175783,22.07853838584541,,,,,,,,,,,,,,,,,-0.6993458919094712,,,,,,,,,,,,,25.53197749330013,68.86838821323687,,,,8399780.93277844,3745400.0,,1.6100006103516016,0.3022022871296969,,,0.47573095966518697,,0.22631994598395977
2009-01-13,21.9300003051758,21.6299991607666,24.065049393011126,22.684000015258782,21.302950637506438,,,,,,,,,,,,,,,,,-0.20134308086777472,,,,,,,,,,,,,17.991569357277545,45.162606039952685,,,,6967559.854524525,358100.0,,1.4899997711181001,0.7307647685887282,,,0.6905246888761721,,0.4768243459475343
2009-01-14,21.1700000762939,20.4500007629395,24.504296233876964,22.24200019836426,19.979704162851554,,,,,,,,,,,,,,,,,-0.6153839883797914,,,,,,,,,,,15.734851310195046,43.255281854461536,3.6810070800074586,15.734851310195046,,,,5037853.048387773,-2069600.0,,1.2999992370605007,0.8593839963863834,,,1.1311480177563529,,1.2794958380741264
2009-01-15,20.3400001525879,21.1299991607666,23.88043698966885,21.79799995422364,19.71556291877843,,,,,,,,,,,,,,,,,0.451428004673543,,,,,,,,,,,19.203351051407157,26.700269467184963,35.937476716936466,19.203351051407157,,,,7455211.888240242,2118900.0,,1.75,0.6222574047834388,,,1.0412185177226057,,1.08413600164846
2009-01-16,21.75,22.1700000762939,22.890964276247956,21.53199996948242,20.173035662716885,,,,,,,,,,,,,,,,,0.320610875968377,,,,,,0.129999160766598,,,0.5898328283417298,,35.18617966697096,23.37479400952439,65.94005520396894,35.18617966697096,,,,9476592.298742134,5746300.0,,1.3299999237060973,1.1151383998912998,,,0.6794821533827684,,0.46169599676568396
