Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,18.7689113616943,19.3979930877686,,,,,,,,,,,,,,,,,,,,0.5524484309440437,,,,,,,,,,,,,,,,,,2735906.6385739753,3287684.0,,,,,,,,
2009-01-05,19.2307682037354,18.8565063476562,,,,,,,,,,,,,,,,,,,,-0.41964148231801135,,,,,,,,,,,,,,,,,,854757.5627342039,-613961.0,,0.8918609619141016,,,,,,
2009-01-06,18.9042835235596,19.0794715881348,,,,,,,,,,,,,,,,,,,,0.32353044776964224,,,,,,,,,,,,,,,,,,2169534.7578762732,2179943.0,,0.5414886474608984,,,,,,
2009-01-07,18.8166904449463,18.3468704223633,,,,,,,,,,,,,,,,,,,,-0.6629230719544945,,,,,,,,,,,,,,,,,,559171.1659147108,-630286.0,,0.8838977813721023,,,,,,
2009-01-08,18.3866863250732,18.5061321258545,19.59822898655652,18.83739471435548,18.076560442154438,,,,,,,,,,,,,,,,,0.2419353592484482,,,,,,,,,,,,,,,,,,2707725.5535349892,1666447.0,,0.49370956420900214,,,,0.3804171361005207,,0.14471719743892208
2009-01-09,18.4742794036865,17.9646434783936,19.33052576721955,18.55072479248048,17.77092381774141,,,,,,,,,,,,,,,,,-0.6736843166867582,,,,,,,,,,,,,,,,,,1742751.121611863,-1111508.0,,0.7883434295653977,0.7511088680434714,,,0.38990048736953614,,0.15202239005100182
2009-01-12,17.9009399414062,17.789457321167,19.23994183307759,18.33731498718264,17.43468814128769,,,,,,,,,,,,,,,,,-0.22222264466571046,,,,,,,,,,,,,12.621332130281214,19.474578600728748,,,,1303868.2240525978,-3625117.0,,0.5016708374023011,-0.3856324432048296,,,0.4513134229474753,,0.20368380573256673
2009-01-13,17.789457321167,17.773530960083,18.672367653694927,18.076126861572284,17.47988606944964,,,,,,,,,,,,,,,,,-0.028571917398098483,,,,,,,,,,,,,15.976319619932966,14.104824001985092,,,,525500.1594250052,-7030470.0,,0.5574131011962997,0.21961508517217251,,,0.29812039606132074,,0.08887577054775875
2009-01-14,17.5983448028564,17.8531608581543,18.522942123700183,17.97738494873048,17.43182777376078,,,,,,,,,,,,,,,,,0.41025475672828166,,,,,,,,,,,20.10162619336491,17.893676265359584,31.707226829880558,20.10162619336491,,,,525500.1594250052,-2411512.0,,0.6211166381836009,0.17835701143457547,,,0.27277858748485134,,0.07440815779023069
2009-01-15,17.797420501709,18.1000156402588,18.140324512283097,17.896161651611344,17.65199879093959,,,,,,,,,,,,,,,,,0.3838376262345154,,,,,,,,,,,35.837520844944414,23.347990346764806,59.82901608501974,35.837520844944414,,,,2532067.1369484654,2433616.0,,0.7883415222168004,0.27740349281396104,,,0.12208143033587733,,0.01490387563285367
2009-01-16,18.267240524292,18.4981689453125,18.5508174832655,18.002866744995124,17.454916006724748,,,,,,,,,,,,,,,,,0.3372093670970743,,,,,,-0.8998241424561009,,,-4.63874864984607,,59.923842224161184,38.6209964208235,88.23528375758329,59.923842224161184,,,,4940143.164533239,6268704.0,,0.6848220825194993,0.6366224630570265,,,0.2739753691351888,,0.07506250289276295
2009-01-20,18.4503898620605,17.813346862793,18.54843857044279,18.007644653320323,17.466850736197856,,,,,,,,,,,,,,,,,-0.7407405764572365,,,,,,-1.0431594848631995,,,-5.532093091002832,,57.33600944531967,51.03245750480843,23.943728493356023,57.33600944531967,,,,1675440.1645332389,3004001.0,,0.8600082397461009,1.6852490339342339,,,0.2703969585612335,,0.07311451519916545
2009-01-21,18.227424621582,18.5618724822998,18.79373025219145,18.165312957763682,17.536895663335912,,,,,,,,,,,,,,,,,0.5185173137771413,,,,,,-0.517599105835,,,-2.712858704938592,,67.43995323237569,61.56660163395219,90.14084744618778,67.43995323237569,,,,4776825.71952007,6445270.0,,0.7803783416747976,0.8212411639472607,,,0.3142086472138857,,0.09872707398398006
