"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2427,203,0.315270935960591,3.89294265470507,3.61265725039472,1.07758427796596,0.496153912156987,-253.011027903741,61.419998168945
"svm_test_result",2427,167,0.317365269461078,4.76113688112657,3.87039105213897,1.23014362553761,0.571908878539417,-188.884325244134,61.419998168945
"lr_test_result",2427,197,0.299492385786802,4.27238863044354,3.59411009598879,1.18871946499684,0.508220640831984,-243.916264050284,61.419998168945
"nn_test_result",2427,174,0.379310344827586,4.64608210969404,3.8476465375688,1.20751271311677,0.737924435793581,-108.904406817623,61.419998168945
