"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,328,0.292682926829268,2283.61567708333,2106.83032327586,1.08391057972461,0.448514722644666,-269557.530000001,44600
"lr_test_result",2367,328,0.295731707317073,2144.36788659794,1934.6879004329,1.10837923063359,0.465423313296356,-238909.220000001,44600
"nn_test_result",2367,295,0.298305084745763,2153.81170454545,1857.72565217392,1.15938093551384,0.492876919445497,-195013.780000001,44600
