"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,307,0.293159609120521,1383.62138888889,904.361866359448,1.52994220605378,0.634538242142121,-71720.6000000003,-19050
"lr_test_result",2367,307,0.267100977198697,1197.41274390244,873.859177777779,1.37025824566775,0.499383005087801,-98430.4700000003,-19050
"nn_test_result",2367,287,0.282229965156794,1173.3924691358,890.279490291263,1.31800460634212,0.518244529678213,-88352.7850000003,-19050
