"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2427,203,0.349753694581281,7.42995712469395,6.23923083299585,1.19084504541826,0.640530289581034,-296.051514102182,366.940002441406
"svm_test_result",2427,134,0.328358208955224,6.98717269328722,6.25539874481206,1.11698278212593,0.546080471261566,-255.550288528447,366.940002441406
"lr_test_result",2427,195,0.348717948717949,7.44129668664365,6.49781074298054,1.14520058847241,0.613178267843494,-319.213789666761,366.940002441406
"nn_test_result",2427,147,0.45578231292517,9.44940089876538,8.48874528297433,1.11316815191967,0.932278327232727,-45.9897624206656,366.940002441406
