"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,300,0.326666666666667,2925.05183673469,2219.69782178218,1.31777028748273,0.63931429788766,-161723.880000001,-26600
"lr_test_result",2367,277,0.328519855595668,3054.1845054945,2098.61494623656,1.45533343835731,0.712017972529653,-112411.590000001,-26600
"nn_test_result",2367,286,0.328671328671329,3019.49957446808,2134.14661458334,1.41485104811208,0.692687492304873,-125923.190000001,-26600
