"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2427,193,0.424870466321244,5.25468267320772,3.88136303658702,1.35382406223673,1.00012228021092,0.0526821418742571,340.369995117187
"svm_test_result",2427,66,0.409090909090909,3.70328855910134,2.35919283050147,1.56972694695506,1.08673404019966,7.98027070617883,340.369995117187
"lr_test_result",2427,177,0.423728813559322,4.68922353067018,4.74936173629757,0.987337623671035,0.725983546816938,-132.743132302088,340.369995117187
"nn_test_result",2427,155,0.419354838709677,6.97230297174315,5.19821623303727,1.3412875992789,0.968707710590315,-14.6397678100493,340.369995117187
