"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,306,0.38562091503268,4715.33974576271,5307.8135106383,0.888377057014511,0.557598365572938,-441458.85,85500
"lr_test_result",2367,288,0.385416666666667,6029.3136036036,5244.36627118644,1.14967439187644,0.720982245753024,-258999.02,85500
"nn_test_result",2367,171,0.421052631578947,7928.25166666667,7039.36353535354,1.12627393468868,0.819108316137224,-126062.87,85500
