"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2427,320,0.35625,1.6654572153928,1.42452241774626,1.1691337353804,0.646996338996918,-103.589495500951,40.4800033569332
"lr_test_result",2427,314,0.369426751592357,1.65551424775617,1.41971897440824,1.16608587868329,0.683161423875057,-89.0647041931161,40.4800033569332
"nn_test_result",2427,252,0.380952380952381,1.97994714753228,1.6812147391124,1.17768843055563,0.72473134188039,-72.1945731384353,40.4800033569332
