"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2427,301,0.318936877076412,5.82592452251908,2.75396444449821,2.11546831483534,0.990658332800941,-5.27395696030136,159.169994354249
"lr_test_result",2427,297,0.35016835016835,4.16740966614207,2.6577768360711,1.56800586474469,0.844935802763977,-79.5403240829476,159.169994354249
"nn_test_result",2427,196,0.38265306122449,6.70937919180296,4.16179216780545,1.61213701244021,0.999258478785256,-0.373412919237779,159.169994354249
