"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,304,0.3125,3431.21930930921,2113.16525873206,1.62373448793494,0.738061130879518,-115685.704690626,-37805.2421875
"lr_test_result",2367,261,0.333333333333333,2795.58158728448,2200.18621073097,1.27061135718858,0.635305678594292,-139616.802573438,-37805.2421875
"nn_test_result",2367,244,0.360655737704918,2712.3578485973,2407.25300432192,1.12674398732813,0.635599172338945,-136843.977997657,-37805.2421875
