"","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"xgb_test_result",2367,270,0.344444444444444,1148.13265899697,834.056532406428,1.37656455454449,0.723279681201341,-40851.6689492192,-36485.8515625
"lr_test_result",2367,275,0.327272727272727,1120.54064397569,916.616254225086,1.22247520574791,0.594717667661147,-68725.3490738286,-36485.8515625
"nn_test_result",2367,259,0.32046332046332,1138.89694259695,933.493653983933,1.2200371558354,0.575358431445102,-69766.4368656255,-36485.8515625
