"Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold","Model","Symbol"
1174,280,0.471428571428571,956.066098484847,1062.22665540541,0.900058470214115,0.802754851812589,-31008.8200000005,33600,"xgb","005930.KS"
1174,253,0.454545454545455,821.233782608693,1015.99166666667,0.808307596954068,0.67358966412839,-45764.9650000005,33600,"lr","005930.KS"
1174,222,0.441441441441441,1203.54785714286,1114.4535483871,1.07994438968291,0.853504437007459,-20244.5500000004,33600,"nn","005930.KS"
1178,258,0.48062015503876,8449.14596774194,8042.94067164179,1.05050457446893,0.972108710702595,-30059.9500000004,225500,"xgb","005490.KS"
1178,130,0.561538461538462,9759.9404109589,11033.4763157895,0.88457528086519,1.13287711409051,83567.4999999996,225500,"lr","005490.KS"
1178,236,0.453389830508475,7413.03691588785,8299.07790697675,0.893236212381614,0.740901354456068,-277386.100000001,225500,"nn","005490.KS"
1178,260,0.434615384615385,384.081610619469,446.28580952381,0.860618021956123,0.661563513476475,-22202.7920000001,-15100,"xgb","015760.KS"
1178,253,0.422924901185771,440.594327102803,543.944020547946,0.809999394163699,0.593629692982985,-32272.2340000002,-15100,"lr","015760.KS"
1178,183,0.46448087431694,411.679482352941,570.792459183674,0.721241978111815,0.625567021831676,-20944.9050000001,-15100,"nn","015760.KS"
1178,257,0.447470817120623,905.17346475883,1176.07446051937,0.76965659500768,0.623313439618895,-62907.6249464847,-36485.8515625,"xgb","017670.KS"
1178,232,0.379310344827586,1076.1600577326,1152.83477428114,0.93349028129694,0.570466283014797,-71306.1224160159,-36485.8515625,"lr","017670.KS"
1178,216,0.365740740740741,1105.91955019778,1212.30446002509,0.912245716043058,0.526039500491982,-78718.0665578129,-36485.8515625,"nn","017670.KS"
1226,292,0.482876712328767,2555.08085106383,2932.10046357616,0.871416543465738,0.813706838600457,-82480.7700000008,-26600,"xgb","009540.KS"
1226,229,0.550218340611354,2749.86436507936,4366.62145631068,0.629746451024563,0.77036944494267,-103279.100000001,-26600,"lr","009540.KS"
1226,203,0.482758620689655,2969.25153061224,3701.86066666667,0.802097052800719,0.748623915947338,-97708.7200000006,-26600,"nn","009540.KS"
1178,249,0.401606425702811,31678.07175,1201.97456375839,26.355026724482,17.6879373989812,2988712.965,8200,"xgb","105560.KS"
1178,198,0.383838383838384,1165.84986842105,1017.01069672131,1.14634966198445,0.714119461564086,-35470.7150000003,8200,"lr","105560.KS"
1178,233,0.433476394849785,904.136039603959,27221.5420454545,0.0332139905261147,0.0254137351752847,-3501925.81,8200,"nn","105560.KS"
1178,283,0.409893992932862,721.72271551724,738.994371257486,0.976628163336541,0.678376448784663,-39692.2250000003,-3650,"xgb","055550.KS"
1178,218,0.399082568807339,757.477413793103,805.785877862596,0.940048013502501,0.624306695990211,-39657.4150000002,-3650,"lr","055550.KS"
1178,205,0.409756097560976,661.209404761904,855.797479338844,0.772623688109865,0.536366857861394,-48009.9050000002,-3650,"nn","055550.KS"
1178,244,0.340163934426229,847.908433734939,1054.08335403727,0.804403589609252,0.414692533773714,-99331.0200000004,-9800,"xgb","033780.KS"
1178,229,0.331877729257642,999.583815789472,931.307908496733,1.07331185171932,0.53314837078868,-66521.7400000003,-9800,"lr","033780.KS"
1178,217,0.387096774193548,916.24845238095,1160.83045112782,0.78930428771123,0.49850797118604,-77425.5800000003,-9800,"nn","033780.KS"
1178,235,0.472340425531915,3236.28396396396,2586.22290322581,1.25135538778476,1.12016490358152,38535.8799999995,44600,"xgb","066570.KS"
1178,211,0.478672985781991,2259.46465346534,2350.58818181818,0.961233733302294,0.882587336941197,-30358.7700000004,44600,"lr","066570.KS"
1178,229,0.48471615720524,2900.41121621621,2509.96186440678,1.15555987417431,1.08700971214702,25770.1449999995,44600,"nn","066570.KS"
1178,255,0.376470588235294,350.359739583332,397.682798742139,0.881003002120061,0.531926340902678,-29597.0300000002,3250,"xgb","030200.KS"
1178,195,0.415384615384615,456.231234567901,487.893596491229,0.935103960881976,0.664415972205615,-18665.1400000001,3250,"lr","030200.KS"
1178,219,0.34703196347032,614.349078947368,448.874160839161,1.36864433853545,0.727391396704153,-17498.4750000001,3250,"nn","030200.KS"
1205,265,0.452830188679245,5607.40791666666,6715.86827586207,0.834949061883867,0.690992327076304,-300911.950000001,-83700,"xgb","004170.KS"
1205,271,0.47970479704797,4266.57038461538,5547.66524822696,0.769074952022201,0.709076196899902,-227566.650000001,-83700,"lr","004170.KS"
1205,218,0.463302752293578,5760.2503960396,5851.70717948718,0.984370922767944,0.849756095722755,-102864.450000001,-83700,"nn","004170.KS"
1178,269,0.420074349442379,4220.29247787611,4235.8501923077,0.996327132989773,0.721698500178489,-183899.580000001,-14000,"xgb","000810.KS"
1178,179,0.396648044692737,4197.22605633803,4909.93175925926,0.854844071594845,0.561980824844759,-232269.58,-14000,"lr","000810.KS"
1178,227,0.383259911894273,3938.96379310345,4754.8495,0.828409772612876,0.514797501552287,-322989.08,-14000,"nn","000810.KS"
1178,242,0.40495867768595,4023.29918367347,3776.52159722222,1.06534520724911,0.72502659937787,-149535.790000001,66100,"xgb","005380.KS"
1178,182,0.5,4129.32626373626,5373.84780219781,0.768411465253527,0.768411465253527,-113251.460000001,66100,"lr","005380.KS"
1178,237,0.383966244725738,3837.86494505494,3555.3951369863,1.07944821804197,0.672806766039856,-169841.980000001,66100,"nn","005380.KS"
1185,271,0.498154981549816,394.968503703703,422.330852941177,0.935211105116005,0.928334552872505,-4116.24800000015,-4700,"xgb","034220.KS"
