"Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold","Model","Symbol"
1168,195,0.6,1.75971945619827,2.2074679014353,0.797166497892944,1.19574974683942,33.7046800632437,139.367496490479,"xgb","AAPL"
1168,44,0.772727272727273,0.616448963524325,0.75319074913026,0.818449993227033,2.78272997697191,13.4273572685245,139.367496490479,"svm","AAPL"
1168,137,0.664233576642336,1.64931922078808,1.80051129068291,0.916028257819207,1.81214285785974,67.2645297203014,139.367496490479,"lr","AAPL"
1168,147,0.63265306122449,1.72962777036446,2.10934757207231,0.819982345851709,1.41219181785572,46.95061375199,139.367496490479,"nn","AAPL"
1183,178,0.50561797752809,2.8190633522034,2.5553563904675,1.10319772330765,1.12827039883737,28.8443393371665,238.960006713867,"xgb","MSFT"
1183,24,0.625,1.26606087488816,0.784462266455918,1.61392195523696,2.68986992539494,11.9307527252191,238.960006713867,"svm","MSFT"
1183,113,0.557522123893805,2.83149934407801,3.10370467572029,0.912296638990272,1.14949376512774,23.1992248909003,238.960006713867,"lr","MSFT"
1183,129,0.503875968992248,2.70401018341068,2.92900764560701,0.923183040326379,0.937607775331479,-11.6958273971539,238.960006713867,"nn","MSFT"
1191,171,0.461988304093567,44.3612431132266,40.7971501020356,1.08736132308941,0.933712440478949,-248.79960344237,1913.92016601562,"xgb","AMZN"
1191,71,0.52112676056338,28.5196502045507,34.1310617198271,0.835592236733244,0.909320963503824,-105.229040905744,1913.92016601562,"svm","AMZN"
1191,139,0.438848920863309,47.0876453533239,44.89805334504,1.04876808336114,0.820190424167046,-629.701794360365,1913.92016601562,"lr","AMZN"
1191,134,0.514925373134328,30.3678388307433,41.2245892901138,0.736643817529211,0.781975744761778,-584.217424536112,1913.92016601562,"nn","AMZN"
1252,165,0.563636363636364,3.14258815856441,2.88542142791747,1.08912622889633,1.40678804565776,84.5103559364321,264.079990386963,"xgb","NVDA"
1252,73,0.657534246575342,1.32330089720884,1.279641495224,1.03411846376332,1.98550745042557,31.5274056854244,264.079990386963,"svm","NVDA"
1252,144,0.5625,2.42867880390778,1.6883413576701,1.43849985838132,1.84949981791884,90.3574775833134,264.079990386963,"lr","NVDA"
1252,131,0.618320610687023,3.25432256676002,2.77458770268247,1.17290311768258,1.90010305064578,124.870742773438,264.079990386963,"nn","NVDA"
1186,187,0.561497326203209,5.42690324355348,5.93892128926723,0.913786019249141,1.17009185391658,82.8332948532023,477.350021362305,"xgb","IDXX"
1186,69,0.63768115942029,3.37082566035888,5.50156337670899,0.612703231708528,1.07835768780701,10.7772446380659,477.350021362305,"svm","IDXX"
1186,146,0.643835616438356,6.45199629419201,9.2305513467055,0.698982764068022,1.26354576581527,126.498981625363,477.350021362305,"lr","IDXX"
1186,121,0.56198347107438,8.0019052667281,9.64298453913278,0.829816249757021,1.06466990534863,33.0513775634736,477.350021362305,"nn","IDXX"
1215,140,0.471428571428571,1.93383939420526,1.8335925344493,1.05467237560829,0.940653740407391,-8.05244753170079,52.2849998474121,"xgb","MCHP"
1215,71,0.605633802816901,1.32346839068213,1.77605478115082,0.745173180877098,1.14437309920411,7.17960692710883,52.2849998474121,"svm","MCHP"
1215,132,0.537878787878788,1.64332567133031,1.89658119668179,0.866467343557675,1.00851117037041,0.984669666862548,52.2849998474121,"lr","MCHP"
1215,135,0.496296296296296,1.58314242019084,1.17777576169406,1.34417982750274,1.32441247709829,25.9817903575897,52.2849998474121,"nn","MCHP"
1202,165,0.539393939393939,8.21888447169616,9.2629383374666,0.887286967943264,1.03905973877566,27.4974043334968,350.730010986328,"xgb","NFLX"
1202,110,0.645454545454546,8.23196454493565,12.7748355264518,0.644389082574913,1.17311858622612,86.2508971588125,350.730010986328,"svm","NFLX"
1202,142,0.549295774647887,10.0556376066159,11.744846473217,0.856174461671066,1.04346262516161,32.6695590301511,350.730010986328,"lr","NFLX"
1202,148,0.540540540540541,9.06007133407588,11.8265966995239,0.766075952724474,0.901265826734675,-79.4028688415539,350.730010986328,"nn","NFLX"
1176,172,0.581395348837209,6.99048577078252,10.3962656316545,0.67240353589061,0.933893799848069,-49.4825484008734,350.089996337891,"xgb","ADBE"
1176,54,0.518518518518518,4.231988260923,5.45529728692847,0.775757587228719,0.835431247784774,-23.3420581542961,350.089996337891,"svm","ADBE"
1176,142,0.584507042253521,7.52649968850005,9.52844512515306,0.789897993811362,1.11121243197192,62.521211761474,350.089996337891,"lr","ADBE"
1176,146,0.547945205479452,7.40920243770601,8.99362967554721,0.823827832032143,0.998579190341991,-0.843363569635727,350.089996337891,"nn","ADBE"
1215,176,0.420454545454545,0.755109167640264,0.784894362861035,0.962051969500456,0.697959271990527,-24.181146606446,21.2700004577636,"xgb","CSCO"
1215,75,0.493333333333333,1.14769203386048,1.04401653889104,1.09930445649795,1.07037539185326,2.79197677497833,21.2700004577636,"svm","CSCO"
1215,132,0.325757575757576,0.956296288414883,0.849569234916601,1.12562490390646,0.543841245707615,-34.4909215057375,21.2700004577636,"lr","CSCO"
1215,143,0.468531468531469,0.664252825136323,0.700211922354441,0.948645408525456,0.836305820673757,-8.71116681480385,21.2700004577636,"nn","CSCO"
1228,158,0.544303797468354,5.82486543501031,6.0935777064853,0.955902380437521,1.14177228774482,62.2008325439449,452.830017089844,"xgb","INTU"
1228,61,0.540983606557377,4.14576733925552,5.91659959607811,0.700701014481966,0.82582619563946,-28.8544664947548,452.830017089844,"svm","INTU"
